Group,Dim,MRR,CA@1,Edit Dist.,Pass@1,Speedup,Success Rate
SONAR,Correctness,+0.06(+/-0.04),[+0.41(+/-0.08)***],-0.14(+/-0.02)***,[+0.59(+/-0.05)***],-0.05(+/-0.04),[+0.41(+/-0.06)***]
SONAR,Abstraction,[+0.18(+/-0.04)***],-0.11(+/-0.05)*,[+0.28(+/-0.05)***],-0.02(+/-0.01),[+0.11(+/-0.01)**],-0.21(+/-0.04)***
SONAR,Conciseness,+0.06(+/-0.08),+0.04(+/-0.03),+0.05(+/-0.02),-0.01(+/-0.02),-0.01(+/-0.03),+0.03(+/-0.02)
SONAR,Fluency,+0.03(+/-0.06),-0.02(+/-0.04),-0.07(+/-0.04),+0.06(+/-0.03),-0.06(+/-0.03),+0.05(+/-0.03)
Baselines,BLEU-4,+0.02(+/-0.08),-0.09(+/-0.02)*,+0.07(+/-0.02),+0.07(+/-0.02),+0.06(+/-0.04),+0.09(+/-0.01)**
Baselines,METEOR,+0.02(+/-0.06),-0.01(+/-0.03),+0.03(+/-0.01),+0.14(+/-0.01)***,-0.05(+/-0.06),+0.12(+/-0.03)***
Baselines,ROUGE-L,+0.01(+/-0.08),-0.11(+/-0.04)*,+0.01(+/-0.03),-0.06(+/-0.01),+0.09(+/-0.06),+0.09(+/-0.03)**
Baselines,BLEURT,+0.14(+/-0.07)*,+0.02(+/-0.07)*,-0.02(+/-0.05),+0.15(+/-0.02)***,-0.03(+/-0.05),+0.20(+/-0.03)***
Baselines,BERTScore,+0.07(+/-0.08),-0.04(+/-0.03),+0.00(+/-0.04),+0.08(+/-0.03),-0.00(+/-0.04),+0.12(+/-0.02)***
